"","V1","V2"
"34","Need to make sure the IRI and Customers data can be acessed","1"
"35","Need the ability to access IRI data to leverage Catagory and social insights","4"
"36","MS Collaboration is via outlook and Lync. However outlook collaboration is not available on the ipad","2"
"37","Most Collaboration is linked via outlook but there is no outlook app available for the iPad","2"
"38","More focus on their integration capaiblties, not on the tools themselves.  ","1"
"39","Many existing platforms, expanded to meet increased needs","1"
"40","Made it clear that capability was there, usage would depend on future need.  Clearly built into software ","1"
"41","Look its Microsoft tell me how they could fail,  I think this is a very strong part of what they will offer us","1"
"42","Liked how the vendor was able to pull the information into the applacation and feed that info into real selling conversations","3"
"43","Like the integrated system and would help save time for the CM ","3"
"44","leverage their existing software","1"
"45","It seemed to me that they would support the enhancement of what we already have in place....but I didn't gather that they were purposing any innovative idease regarding social media.","4"
"46","Internal only cant currently involve the customer","1"
"47","Integration with TPM would be a plus here on the retail side.  Social networking was a plus.","1"
"48","Integration with Outlook and Office gives an edge over other vendors from collaboration standpoint.","2"
"49","Incremental cost associated with external users.","1"
"50","I'm very hesitant to support the social media aspect at certain levels due to it's potential lack of credibility.  SM tends to be ""trendy"" and has a ""blog"" feel to it.  I would not present SM data unless I could confirm it was consistent with IRI/Consumer insights/share data.","4"
"51","HTe Chatter function needs to be broken out and kept as groups. Opening it up to the masses may be too much and too wide spread. We need filters for data and communication","1"
"52","Great uses but again this will be something we can move to in time to help the sales process","3"
"53","Great collaboration built in","2"
"54","Great access to customer centric insights.","4"
"55","Good capabilities, but not necessarily value added to the target audience..","3"
"56","giving high marks on modeling and analytics because of their analytic tools. Social media integration seems, again, to be a portal to data collected from other systems (other than core Oracle) and simply displayed rather than analyzed and reacted to","4"
"57","Gettting conected to the outside world IE FOBOs was not clear","1"
"58","Functionality appeared to be available but a more streamlined demonstration would be helpful.   ","3"
"59","From what I can tell, they were just selling integration services for other vendors.  They really did not present any real tools, just services to manage the data.  ","1"
"60","From a crawl to walk perspective the current collaboration functionality of Internal users/groups only is sufficient.  Oracle roadmap to offer external will be availale should we want to run and open up communications/collaboration with Customers, Distributors, Vendors, etc.  ","1"
"61","Fantastic job with Shopper insights.","4"
"62","external audience participation does not exist currently but is in the roadmap for a later release","1"
"63","equal to other vendors","1"
"64","Didn't see anything social media related.","4"
"65","Didn't quite understand the collaboration with customers, or how to connect internally to other divisions via retail accounts","2"
"66","Did not support collaboration outside of PepsiCo. Was unclear what that user experience would be in future releases.","3"
"67","Did not see much in the demo that highlighted this capability.   Most of the analytics were simple reports....not true insights","4"
"68","Did not see any discussions in this area.  ","4"
"69","did not provide enough information on social media.","4"
"70","Crawl, Walk and Run approach was easy to follow with regards to what we can do in the short term vs. what does the future look like.","1"
"71","Cost to include FOBO or external customers","1"
"72","Concern about the lack of current integration into MS Lync and the confusion that will create within the organization.  ","1"
"73","Collaboration was largely a function of integrating other vendor solutions ","3"
"74","Clearly the best piece of their presentation.  Their social media gathering, etc was pretty amazing.  ","4"
"75","Chatter was clearly this vendors differenciation.  However, i'm not sure PEP organizationally is ready to take the plung with communicating with both internal/external parties, search/read or ask for content, etc.  ","1"
"76","As disscussed Pepsi has this capabilities and should be first looked as the place to go for this content.  The value is when you are able to bring that real time to the customer.","3"
"77","Appeared to exist but would like to see CPG-Beverage (Foodservice) specifics.    ","3"
"78","analytics based on social media discussions was powerful and interesting","4"
"79","Again...the vendor has a unique view from the inside our company and showed what ways that they can help us.","3"
"80","Accenture does not have a collaboration tool","2"
"81","1.At store level management was great. 2. Social media was good, not sure how to apply to my day to day functions","4"
"82","1. Tied in how information would relate to my day to day slaes call.","4"
"83","1. Spending too much time on IM program.(Chatter) ","3"
